22773468|atazanavir|abacavir|2|Significant - Monitor Closely|atazanavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
22773505|darunavir|abacavir|2|Significant - Monitor Closely|darunavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
22861227|ethanol|abacavir|1|Minor|ethanol increases levels of abacavir by decreasing metabolism. Minor or non-significant interaction. Interaction usually not clinically significant.
22773540|fosamprenavir|abacavir|2|Significant - Monitor Closely|fosamprenavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
100010369|ganciclovir|abacavir|20|Serious - Use Alternative|ganciclovir, abacavir.Either increases toxicity of the other by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of hematologic toxicity.
22773573|indinavir|abacavir|2|Significant - Monitor Closely|indinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
22773604|nelfinavir|abacavir|2|Significant - Monitor Closely|nelfinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
100010370|ribavirin|abacavir|20|Serious - Use Alternative|ribavirin increases toxicity of abacavir by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of lactic acidosis and hepatic decompensation.
22773633|ritonavir|abacavir|2|Significant - Monitor Closely|ritonavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
22773660|saquinavir|abacavir|2|Significant - Monitor Closely|saquinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
22858119|tipranavir|abacavir|11|Significant - Monitor Closely|tipranavir decreases levels of abacavir by unspecified interaction mechanism. Significant interaction possible, monitor closely.
22773685|tipranavir|abacavir|2|Significant - Monitor Closely|tipranavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
100010371|valganciclovir|abacavir|20|Serious - Use Alternative|valganciclovir, abacavir.Either increases toxicity of the other by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of hematologic toxicity.
22897237|abatacept|anakinra|21|Serious - Use Alternative|abatacept, anakinra. Mechanism: unspecified interaction mechanism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Concomitant use not recommended (in mfr. info.).
100012437|abatacept|certolizumab pegol|20|Serious - Use Alternative|abatacept and certolizumab pegol both increase  immunosuppressive effects; risk of infection. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Avoid combination because of an increased risk of serious infection.
100007478|abatacept|denosumab|11|Significant - Monitor Closely|abatacept, denosumab. Other (see comment). Significant interaction possible, monitor closely. Comment: Caution should be taken in patients on concomitant immunosuppressants or with impaired immune systems because of increased risk for serious infections.
22872118|abatacept|etanercept|21|Serious - Use Alternative|abatacept, etanercept. Mechanism: pharmacodynamic synergism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Increased risk of serious infection.
22892781|abatacept|infliximab|21|Serious - Use Alternative|abatacept, infliximab. Mechanism: pharmacodynamic synergism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Increased risk of serious infection.
100007678|abatacept|sipuleucel-t|3|Significant - Monitor Closely|abatacept decreases effects of sipuleucel-t by pharmacodynamic antagonism. Potential for dangerous interaction. Use with caution and monitor closely.
100002174|abatacept|tocilizumab|21|Serious - Use Alternative|abatacept, tocilizumab. Mechanism: unspecified interaction mechanism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Concomitant use not recommended (in mfr. info.).
100026079|abatacept|tofacitinib|20|Serious - Use Alternative|abatacept, tofacitinib.Either increases toxicity of the other by immunosuppressive effects; risk of infection. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available.
22866556|ginkgo biloba|abciximab|1|Minor|ginkgo biloba, abciximab. pharmacodynamic synergism. Minor or non-significant interaction. May prolong bleeding time.  Conflicting evidence.ÿ Use with caution.
100007992|atazanavir|abiraterone|11|Significant - Monitor Closely|atazanavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100018087|abiraterone|bosutinib|20|Serious - Use Alternative|abiraterone increases levels of bosutinib by P-glycoprotein (MDR1) efflux transporter. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available.
100008001|carbamazepine|abiraterone|3|Significant - Monitor Closely|carbamazepine decreases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Potential for dangerous interaction. Use with caution and monitor closely.  Avoid coadministration of abiraterone with strong CYP3A4 inducers; if a strong CYP3A4 inducer must be used, increase abiraterone dosage frequency from once daily to twice daily.
100007991|clarithromycin|abiraterone|11|Significant - Monitor Closely|clarithromycin increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100019332|abiraterone|dextromethorphan|11|Significant - Monitor Closely|abiraterone increases levels of dextromethorphan by affecting hepatic enzyme CYP2D6 metabolism. Significant interaction possible, monitor closely. Avoid coadministration of abiraterone with substrates of CYP2D6. If alternative therapy cannot be used, exercise caution and consider a dose reduction of the CYP2D6 substrate.
100007997|indinavir|abiraterone|11|Significant - Monitor Closely|indinavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100007990|itraconazole|abiraterone|11|Significant - Monitor Closely|itraconazole increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100007989|ketoconazole|abiraterone|11|Significant - Monitor Closely|ketoconazole increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100007993|nefazodone|abiraterone|11|Significant - Monitor Closely|nefazodone increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
100007998|nelfinavir|abiraterone|11|Significant - Monitor Closely|nelfinavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
