atazanavir|abacavir|2|Significant - Monitor Closely|atazanavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
darunavir|abacavir|2|Significant - Monitor Closely|darunavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
ethanol|abacavir|1|Minor|ethanol increases levels of abacavir by decreasing metabolism. Minor or non-significant interaction. Interaction usually not clinically significant.
fosamprenavir|abacavir|2|Significant - Monitor Closely|fosamprenavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
ganciclovir|abacavir|20|Serious - Use Alternative|ganciclovir, abacavir.Either increases toxicity of the other by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of hematologic toxicity.
indinavir|abacavir|2|Significant - Monitor Closely|indinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
nelfinavir|abacavir|2|Significant - Monitor Closely|nelfinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
ribavirin|abacavir|20|Serious - Use Alternative|ribavirin increases toxicity of abacavir by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of lactic acidosis and hepatic decompensation.
ritonavir|abacavir|2|Significant - Monitor Closely|ritonavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
saquinavir|abacavir|2|Significant - Monitor Closely|saquinavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
tipranavir|abacavir|11|Significant - Monitor Closely|tipranavir decreases levels of abacavir by unspecified interaction mechanism. Significant interaction possible, monitor closely.
tipranavir|abacavir|2|Significant - Monitor Closely|tipranavir and abacavir both increase  risk of immune reconstitution syndrome. Potential for interaction, monitor.
valganciclovir|abacavir|20|Serious - Use Alternative|valganciclovir, abacavir.Either increases toxicity of the other by Other (see comment). Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Comment: Increased risk of hematologic toxicity.
abatacept|anakinra|21|Serious - Use Alternative|abatacept, anakinra. Mechanism: unspecified interaction mechanism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Concomitant use not recommended (in mfr. info.).
abatacept|certolizumab pegol|20|Serious - Use Alternative|abatacept and certolizumab pegol both increase  immunosuppressive effects; risk of infection. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available. Avoid combination because of an increased risk of serious infection.
abatacept|denosumab|11|Significant - Monitor Closely|abatacept, denosumab. Other (see comment). Significant interaction possible, monitor closely. Comment: Caution should be taken in patients on concomitant immunosuppressants or with impaired immune systems because of increased risk for serious infections.
abatacept|etanercept|21|Serious - Use Alternative|abatacept, etanercept. Mechanism: pharmacodynamic synergism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Increased risk of serious infection.
abatacept|infliximab|21|Serious - Use Alternative|abatacept, infliximab. Mechanism: pharmacodynamic synergism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Increased risk of serious infection.
abatacept|sipuleucel-t|3|Significant - Monitor Closely|abatacept decreases effects of sipuleucel-t by pharmacodynamic antagonism. Potential for dangerous interaction. Use with caution and monitor closely.
abatacept|tocilizumab|21|Serious - Use Alternative|abatacept, tocilizumab. Mechanism: unspecified interaction mechanism. High likelihood serious or life-threatening interaction. Contraindicated unless benefits outweigh risks and no alternatives available. Never use combination. Concomitant use not recommended (in mfr. info.).
abatacept|tofacitinib|20|Serious - Use Alternative|abatacept, tofacitinib.Either increases toxicity of the other by immunosuppressive effects; risk of infection. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available.
ginkgo biloba|abciximab|1|Minor|ginkgo biloba, abciximab. pharmacodynamic synergism. Minor or non-significant interaction. May prolong bleeding time.  Conflicting evidence.ÿ Use with caution.
atazanavir|abiraterone|11|Significant - Monitor Closely|atazanavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
abiraterone|bosutinib|20|Serious - Use Alternative|abiraterone increases levels of bosutinib by P-glycoprotein (MDR1) efflux transporter. Possible serious or life-threatening interaction. Monitor closely. Use alternatives if available.
carbamazepine|abiraterone|3|Significant - Monitor Closely|carbamazepine decreases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Potential for dangerous interaction. Use with caution and monitor closely.  Avoid coadministration of abiraterone with strong CYP3A4 inducers; if a strong CYP3A4 inducer must be used, increase abiraterone dosage frequency from once daily to twice daily.
clarithromycin|abiraterone|11|Significant - Monitor Closely|clarithromycin increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
abiraterone|dextromethorphan|11|Significant - Monitor Closely|abiraterone increases levels of dextromethorphan by affecting hepatic enzyme CYP2D6 metabolism. Significant interaction possible, monitor closely. Avoid coadministration of abiraterone with substrates of CYP2D6. If alternative therapy cannot be used, exercise caution and consider a dose reduction of the CYP2D6 substrate.
indinavir|abiraterone|11|Significant - Monitor Closely|indinavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
itraconazole|abiraterone|11|Significant - Monitor Closely|itraconazole increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
ketoconazole|abiraterone|11|Significant - Monitor Closely|ketoconazole increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
nefazodone|abiraterone|11|Significant - Monitor Closely|nefazodone increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
nelfinavir|abiraterone|11|Significant - Monitor Closely|nelfinavir increases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Significant interaction possible, monitor closely. Avoid or use with caution, strong inhibitors of 3A4 during abiraterone therapy.
phenobarbital|abiraterone|3|Significant - Monitor Closely|phenobarbital decreases levels of abiraterone by affecting hepatic/intestinal enzyme CYP3A4 metabolism. Potential for dangerous interaction. Use with caution and monitor closely.  Avoid coadministration of abiraterone with strong CYP3A4 inducers; if a strong CYP3A4 inducer must be used, increase abiraterone dosage frequency from once daily to twice daily.
